match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR,match_id
Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen,Out,3,6,0,0,50,T20I # 1823
Namibia Vs Sri Lanka,Namibia,2,Divan la Cock,Out,9,9,1,0,100,T20I # 1823
Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton,Out,20,12,1,2,166.66,T20I # 1823
Namibia Vs Sri Lanka,Namibia,4,Stephan Baard,Out,26,24,2,0,108.33,T20I # 1823
Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus(c),Out,20,24,0,0,83.33,T20I # 1823
Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck,Out,44,28,4,0,157.14,T20I # 1823
Namibia Vs Sri Lanka,Namibia,7,David Wiese,Out,0,1,0,0,0,T20I # 1823
Namibia Vs Sri Lanka,Namibia,8,JJ Smit,Not Out,31,16,2,2,193.75,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,Out,9,10,1,0,90,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis†,Out,6,6,0,0,100,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,Out,12,11,1,0,109.09,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,Out,0,1,0,0,0,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,Out,20,21,2,0,95.23,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),Out,29,23,2,1,126.08,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,Out,4,8,0,0,50,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,Out,5,8,0,0,62.5,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan,Out,0,0,0,0,-,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera,Out,8,15,0,0,53.33,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana,Not Out,11,11,0,1,100,T20I # 1823
Netherlands Vs U.A.E.,U.A.E.,1,Chirag Suri,Out,12,20,1,0,60,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,2,Muhammad Waseem,Out,41,47,1,2,87.23,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,3,Kashif Daud,Out,15,14,0,1,107.14,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,4,Vriitya Aravind†,Out,18,21,0,0,85.71,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,5,Zawar Farid,Out,2,4,0,0,50,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,6,Basil Hameed,Out,4,4,1,0,100,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,7,Chundangapoyil Rizwan(c),Out,1,2,0,0,50,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,8,Aayan Afzal Khan,Out,5,7,0,0,71.42,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,9,Karthik Meiyappan,Not Out,0,0,0,0,-,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,10,Junaid Siddique,Not Out,0,1,0,0,0,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,1,Vikramjit Singh,Out,10,7,2,0,142.85,T20I # 1825
